WORD,COUNT
노친절,1
노세요,1
신거,1
스윙스,1
갖췄,1
분과,1
접근성,1
모았,1
문신,1
힘내,1
대장,1
슬펐,1
눈앞,1
효소,1
눌러사,1
통유리,1
수칙,1
과함,1
차가운,1
가벼워,1
허름,1
솔티,1
지켜온,1
올립니다,1
ok,1
로렐,1
나위,1
얼려서,1
모디,1
여럿,1
스마트,1
지났,1
마셔봐야,1
철저,1
눈여겨,1
명절,1
웨이팅없,1
비타민,1
어울릴,1
소식,1
비싸진,1
개방,1
잘나,1
짱짱맛,1
파인애플,1
깨끗하지,1
못해,1
이겨요,1
원한다면,1
기본기,1
산딸기,1
클라우디,1
호록,1
개미,1
눈물,1
제공,1
점장,1
아슈쿠림,1
젤라또는,1
로울,1
그윽,1
뒤늦,1
가본,1
꺼내,1
하트,1
저어,1
마세,1
조리,1
냉동,1
고양이,1
도둑,1
어떡,1
껌뻑,1
밀폐,1
환기,1
활짝,1
상냥,1
임페리얼,1
웨딩,1
향연,1
노랑,1
포스터,1
관심,1
가까워요,1
채울,1
생략,1
포테이토,1
한낮,1
즐겨,1
풍성,1
팥소,1
대량,1
엄지척,1
더부룩,1
전날,1
부브카,1
당뇨,1
땅콩버터,1
가까우,1
셀프,1
성찰,1
자아,1
쪼가리,1
밷입니다,1
매월,1
그쪽,1
쓰여,1
뱅스,1
마심,1
택해도,1
들러,1
글씨체,1
연습,1
깍지,1
들어간다고,1
해밀,1
특출나,1
차가울,1
남녀노소,1
안붐볐,1
호떡,1
인구,1
편함,1
갈려,1
브루클린,1
골라서,1
구운,1
부으면,1
프리,1
신사동,1
안뜰,1
교외,1
bakery,1
값비싼,1
설치,1
히터,1
볼거리,1
알음알음,1
아사히,1
임대료,1
얿고,1
수용,1
메뉴인,1
드셔야,1
야식,1
소비,1
원조,1
촌,1
노예,1
과정,1
존엄,1
결혼,1
사키,1
케일,1
바나,1
이루,1
레스토랑,1
하루빨리,1
시국,1
Excellent,1
글쎄,1
건네,1
먹물,1
서서,1
호무,1
구석진,1
현재,1
마약,1
퀄러티,1
해준다면,1
불만,1
치사,1
못할,1
떠들,1
내려다볼,1
소분,1
먹물어니언,1
핫플라,1
꾸며져,1
웨이팅실,1
콩가루,1
지중해,1
매너,1
예감,1
고수,1
솔직히,1
홀려,1
욕먹,1
결정,1
호사,1
드래건,1
쪼끄매서,1
소독,1
청소,1
건축,1
편히,1
라떼는,1
아닙니다,1
인생샷,1
이미지,1
경쾌,1
공존,1
값비싸,1
크랩,1
상급,1
나지막,1
늦,1
훈제,1
혜자,1
멋들어진,1
랜드마크,1
뜨,1
통통,1
전국,1
갈릴,1
매워서,1
실하,1
돌아옵니다,1
오만,1
노천,1
일광욕,1
도시,1
복판,1
서러울,1
유기농,1
서리,1
와우,1
저런,1
삼각형,1
무진장,1
걸쭉,1
감각,1
클래식,1
라인,1
밖,1
일관,1
카푸치노,1
블랑,1
넓디넓은,1
천지,1
줗았어요,1
오빠,1
위층,1
쫄깃,1
변화,1
업그레이드,1
알려준,1
무한,1
모름,1
서로,1
끝장,1
고픔,1
말씀,1
생각날,1
단연,1
한글,1
heybowl,1
근교,1
겹겹이,1
기념일,1
유니크,1
느껴졌,1
각이,1
노아,1
써서,1
옮겨,1
예뻐,1
물컹물컹,1
예뻤,1
맛남요,1
답답하지않,1
어드벤처,1
퍼석퍼석,1
쿠앤크,1
흔한,1
정답,1
사갈,1
좋아합니다,1
개성,1
후훗,1
꽃,1
탐방,1
모으,1
스티커,1
놀러,1
폭포,1
데시벨,1
떠드,1
동시,1
성냥,1
곤란,1
흠흠,1
겉바속촉한,1
으실,1
시끄러운,1
명성,1
귀여워서,1
토마토퓌레,1
여러모로,1
공휴일,1
구경거리,1
개꿀,1
피크닉,1
시금치,1
즐거워요,1
대중,1
운영,1
지나갈,1
그릴,1
사운드,1
슬러,1
시도,1
저녁노을,1
야경,1
고나리,1
정차,1
일상,1
신랑,1
기다릴,1
프루,1
츠,1
코드,1
주차는안,1
디스플레이,1
안국,1
주로,1
파우,1
싸진,1
새우,1
거주자,1
권,1
배고파요,1
춥,1
소스,1
필수,1
나라,1
초창기,1
살린,1
벽면,1
영화,1
내면,1
달음,1
구워서,1
골라,1
handdrip,1
리저브,1
재미,1
성동,1
애정,1
화났,1
속도,1
바이산,1
소화,1
걸리,1
허수아비,1
어택,1
후추,1
은행,1
사점,1
기억,1
Coffee,1
평상,1
중화,1
찾기어렵,1
일행,1
각오,1
승부,1
충실,1
첨가,1
문의,1
BLTC,1
까다롭,1
한다면,1
프로프로,1
가까워서,1
높이,1
구도,1
망설이,1
맘껏,1
들러서,1
봄직,1
토스터,1
아메리카노맛난,1
오리진,1
싱글,1
손소독,1
쏟아지,1
맞이해,1
신세계,1
레드,1
콩고물,1
안됨,1
한가득,1
푸치노맛있,1
더블,1
나눠서,1
뽀얗,1
하얗,1
정성,1
지베,1
질리,1
미안,1
트리,1
레귤러,1
연말,1
풍깁니다,1
휴식,1
착한,1
변기,1
싸울,1
백만,1
손목,1
만남,1
헤지,1
누렇,1
방귀,1
불빛,1
업구,1
웨이팅이적,1
떠요,1
코앞,1
물건,1
강의,1
마키아토,1
거울,1
올랐,1
바라보,1
에디,1
실해,1
이샤,1
답,1
감성적,1
사각형,1
들어오,1
기존,1
사회,1
축하,1
생일,1
뿌려,1
가루,1
감격,1
달라진,1
색다른,1
아이스커피,1
좋아요,1
노하,1
말라서,1
마신다는,1
태도,1
레이로,1
취식,1
분명,1
색깔,1
됴아요,1
채광,1
로스트,1
소중,1
자면,1
신속하진,1
처리,1
몽블랑,1
땡초,1
싫어한다면,1
들린,1
지나치,1
아파도,1
연기,1
갈려고요,1
밀도,1
아일랜드,1
짜여,1
배경,1
주차권,1
스피디,1
다님,1
깊이,1
카스텔라,1
푸근,1
노트북,1
아메리카노맛나,1
대용,1
카드,1
아산,1
랭킹,1
상위,1
에르,1
제거,1
열악,1
동일,1
ana,1
드리,1
SK,1
여전,1
이제서야,1
그거,1
원대,1
이드,1
겨우,1
육,1
위주,1
히히,1
고픈,1
못해서,1
께,1
뺍니다,1
옹슈,1
맞,1
희희,1
우계,1
범타,1
도르,1
나넘,1
상용,1
레이,1
나와라,1
크으,1
내려다,1
더욱,1
마디,1
그야말로,1
대체로,1
따라,1
사이,1
드릴게요,1
탁,1
성,1
아여,1
읗거,1
니스,1
로워,1
위해,1
쪽,1
맨,1
컴,1
놔요,1
댑악의,1
꺅,1
다린,1
이브,1
살,1
합니까,1
이제껏,1
갈랍니다,1
내일,1
대체,1
신다면,1
Jonna,1
냉철히,1
꼰,1
파,1
냐,1
꺄악,1
앖지만,1
조이온,1
아습,1
이케,1
앗,1
이외,1
요로,1
뭔데,1
대했으면,1
알알,1
그동안,1
yay,1
패패,1
애차,1
저건,1
라오,1
웅에,1
다닥,1
이래서,1
다다닥,1
퍼서,1
에바,1
아함,1
가유,1
할까요,1
이거,1
놔서,1
맞이,1
컸,1
초로,1
그래서인지,1
birds,1
아취,1
새,1
해야죠,1
이래요,1
이따,1
어느,1
마리,1
그중,1
쟉,1
위한,1
괜한,1
Ps,1
수지,1
여지,1
산다,1
그땐,1
어낭,1
군,1
수시로,1
울려요,1
후다닥,1
반면,1
진대요,1
넘김,1
전혀,1
마이,1
내고,1
으려니,1
진즈,1
나온답니다,1
34,1
오른,1
용굿,1
간디,1
마나,1
정녕,1
볼까,1
부도,1
나온다고,1
하하,1
대서,1
하도,1
테넌트,1
옵니다,1
도아,1
오마,1
자는,1
맺,1
찾아온,1
나옹,1
아마,1
only,1
래요,1
여하튼,1
아임파인,1
와구,1
